Part;Value;Device;Package;Description
C1;100n;C-EU050-025X075;C050-025X075;CAPACITOR, European symbol
C2;100p;C-EU050-025X075;C050-025X075;CAPACITOR, European symbol
C3;1u;C-EU050-025X075;C050-025X075;CAPACITOR, European symbol
C4;330p;C-EU050-025X075;C050-025X075;CAPACITOR, European symbol
C5;1u;C-EU050-025X075;C050-025X075;CAPACITOR, European symbol
C6;1u;C-EU050-025X075;C050-025X075;CAPACITOR, European symbol
C7;47n;C-EU050-025X075;C050-025X075;CAPACITOR, European symbol
C8;1n;C-EU050-025X075;C050-025X075;CAPACITOR, European symbol
C9;1u;C-EU050-025X075;C050-025X075;CAPACITOR, European symbol
C10;10u;CPOL-USE2.5-6;E2,5-6;POLARIZED CAPACITOR, American symbol
C11;100n;C-EU050-025X075;C050-025X075;CAPACITOR, European symbol
C13;220u;CPOL-USE2.5-6;E2,5-6;POLARIZED CAPACITOR, American symbol
GAIN;100k;TRIMMER;TRIM1;Trimpots
H_GAIN;500k;TRIMMER;TRIM1;Trimpots
IC1;TL074P;TL074P;DIL14;OP AMP
MODE;;SPDT.WIRE;SPDT.WIRE;SPDT Switches
MODE_B;;SPDT.WIRE;SPDT.WIRE;SPDT Switches
Q1;2N5457;2N5457;TO92;2n5457, J201, MPF102
Q2;2N3906;2N3906;TO92;PNP Transistor
Q3;2N5457;2N5457;TO92;2n5457, J201, MPF102
R1;1M;R-US_0204/5;0204/5;RESISTOR, American symbol
R2;100k;R-US_0204/5;0204/5;RESISTOR, American symbol
R3;10k;R-US_0204/5;0204/5;RESISTOR, American symbol
R4;100k;R-US_0204/5;0204/5;RESISTOR, American symbol
R5;1M;R-US_0204/5;0204/5;RESISTOR, American symbol
R6;100k;R-US_0204/5;0204/5;RESISTOR, American symbol
R7;33k;R-US_0204/5;0204/5;RESISTOR, American symbol
R8;100k;R-US_0204/5;0204/5;RESISTOR, American symbol
R9;100k;R-US_0204/5;0204/5;RESISTOR, American symbol
R10;10k;R-US_0204/5;0204/5;RESISTOR, American symbol
R11;3k3;R-US_0204/5;0204/5;RESISTOR, American symbol
R12;10k;R-US_0204/5;0204/5;RESISTOR, American symbol
R14;10k;R-US_0204/5;0204/5;RESISTOR, American symbol
U1;LM386N;LM386;DIP08;low voltage audio power amplifier
